Address,Port,Response Time(ms)
104.19.201.145,2096,155.67
104.19.202.45,443,155.68
104.19.199.72,2053,155.68
104.19.200.188,8443,155.68
104.19.205.40,2053,155.68
104.19.200.34,2083,155.69
104.19.203.156,443,155.69
104.19.200.191,8443,155.69
104.19.198.32,2083,155.69
104.19.197.23,2053,155.69
104.19.197.118,443,155.71
104.19.202.72,8443,155.71
104.19.200.194,2096,155.72
104.19.196.252,2053,155.73
104.19.200.75,2087,155.73
104.19.192.228,2096,155.73
104.19.195.220,2087,155.73
104.19.194.82,8443,155.74
104.19.203.31,2096,155.75
104.19.203.239,8443,155.75
104.19.201.109,8443,155.75
104.19.193.253,2087,155.75
104.19.207.72,2087,155.76
104.19.196.39,8443,155.76
104.19.205.78,2096,155.76
104.19.192.216,2083,155.76
104.19.206.156,2083,155.77
104.19.195.40,443,155.77
104.19.207.139,2087,155.77
104.19.205.200,443,155.77
104.19.201.18,2053,155.78
104.19.193.65,443,155.78
104.19.202.43,2096,155.78
104.19.195.93,2083,155.78
104.19.207.241,8443,155.79
104.19.197.184,8443,155.79
104.19.201.52,2083,155.79
104.19.201.185,2096,155.80
104.19.202.44,2083,155.80
104.19.204.52,2053,155.80
104.19.201.129,8443,155.81
104.19.204.62,443,155.81
104.19.197.213,8443,155.83
104.19.196.156,2087,155.83
104.19.198.12,8443,155.83
104.19.205.255,8443,155.84
104.19.205.119,2083,155.84
104.19.192.202,8443,155.84
104.19.202.121,8443,155.85
104.19.202.167,2053,155.85
104.19.203.158,2096,155.85
104.19.206.28,8443,155.85
104.19.205.89,443,155.86
104.19.207.194,2087,155.87
104.19.199.85,8443,155.87
104.19.202.232,8443,155.87
104.19.204.98,2083,155.87
104.19.204.39,443,155.88
104.19.195.216,2053,155.89
104.19.203.157,443,155.89
104.19.203.58,8443,155.89
104.19.201.94,443,155.89
104.19.194.181,2096,155.90
104.19.201.177,2053,155.90
104.19.195.235,8443,155.90
104.19.195.173,2087,155.91
104.19.195.47,8443,155.91
104.19.200.212,2083,155.91
104.19.202.254,8443,155.91
104.19.197.207,8443,155.91
104.19.196.165,2087,155.91
104.19.202.52,8443,155.91
104.19.202.150,443,155.91
104.19.192.51,2096,155.93
104.19.198.239,2083,155.93
104.19.204.191,8443,155.93
104.19.194.57,443,155.93
104.19.199.68,2096,155.93
104.19.203.169,8443,155.93
104.19.202.17,443,155.93
104.19.198.160,443,155.94
104.19.203.58,2087,155.94
104.19.206.206,2053,155.94
104.19.198.81,2096,155.95
104.19.195.0,2087,155.95
104.19.194.201,2096,155.95
104.19.195.102,2087,155.95
104.19.203.81,2087,155.96
104.19.204.233,2083,155.96
